pair_id,task,query_id,target_id,query_smiles,target_smiles,gold_relation,binary_label,gold_source,source_type,hard_negative_type
controlled_parent_000014,bace,bace_000605,parent_1x:14,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(CO)CC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CCC(CO)CC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000015,bace,bace_000642,parent_1x:15,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(F)cc(C(C)(C)C)c2)CCCCC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cc(F)cc(C(C)(C)C)c2)CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000016,bace,bace_000646,parent_1x:16,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)C)c2)CCCCC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)C)c2)CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000017,bace,bace_000653,parent_1x:17,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(C)CC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CCC(C)CC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000018,bace,bace_000735,parent_1x:18,CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C(Cc1ccc3c(c1)OCO3)NC(=O)c1ccccc1F)CC1(CCC1)O2,CC(C)(C)Cc1cnc2c(c1)C(NCC(O)C(Cc1ccc3c(c1)OCO3)NC(=O)c1ccccc1F)CC1(CCC1)O2,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000019,bace,bace_000778,parent_1x:19,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(NS(C)(=O)=O)cc(C(C)(C)C)c2)CCCCC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cc(NS(C)(=O)=O)cc(C(C)(C)C)c2)CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000020,bace,bace_000789,parent_1x:20,C=C(C)c1cccc(C2([NH2+]CC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,C=C(C)c1cccc(C2(NCC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000021,bace,bace_000827,parent_1x:21,CCC(C)(C)c1cccc(C2([NH2+]CC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,CCC(C)(C)c1cccc(C2(NCC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000022,bace,bace_000838,parent_1x:22,COC1CCC([NH2+]CC(O)C(Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,COC1CCC(NCC(O)C(Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000023,bace,bace_000886,parent_1x:23,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(S(C)(=O)=O)CC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CCC(S(C)(=O)=O)CC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000024,bace,bace_000887,parent_1x:24,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(NC=O)CC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CCC(NC=O)CC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000025,bace,bace_000896,parent_1x:25,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cc(I)cc(C(C)(C)C)c2)CCCCC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cc(I)cc(C(C)(C)C)c2)CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000026,bace,bace_000901,parent_1x:26,COC(=O)NC1CCC([NH2+]CC(O)C(Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,COC(=O)NC1CCC(NCC(O)C(Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000027,bace,bace_000915,parent_1x:27,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)CO)c2)CCCCC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)CO)c2)CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000028,bace,bace_000950,parent_1x:28,CC(NC(=O)c1cc(COCC(C)([NH3+])Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,CC(NC(=O)c1cc(COCC(C)(N)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000029,bace,bace_000973,parent_1x:29,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(NS(C)(=O)=O)CC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CCC(NS(C)(=O)=O)CC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000030,bace,bace_000977,parent_1x:30,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(N(C)C)c2)CCCCC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(N(C)C)c2)CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000031,bace,bace_000988,parent_1x:31,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(I)c2)CCCCC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(I)c2)CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000032,bace,bace_000994,parent_1x:32,CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)C[NH2+]C4CC4)cc13)NS(=O)(=O)CCC2,CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)CNC4CC4)cc13)NS(=O)(=O)CCC2,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000033,bace,bace_001075,parent_1x:33,O=C(NC(Cc1ccccc1)C(O)C[NH2+]Cc1cccc(C(F)(F)F)c1)c1cccc(N2c3ccccc3OS2(=O)=O)c1,O=C(NC(Cc1ccccc1)C(O)CNCc1cccc(C(F)(F)F)c1)c1cccc(N2c3ccccc3OS2(=O)=O)c1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000034,bace,bace_001085,parent_1x:34,CC(NC(=O)c1cc(COCC([NH3+])(CF)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,CC(NC(=O)c1cc(COCC(N)(CF)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000035,bace,bace_001126,parent_1x:35,CC(NC(=O)c1cc(COCC([NH3+])(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,CC(NC(=O)c1cc(COCC(N)(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000036,bace,bace_001289,parent_1x:36,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2ccc(Br)c(C(C)(C)C)c2)CCCCC1,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2ccc(Br)c(C(C)(C)C)c2)CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000037,bace,bace_001334,parent_1x:37,CC(C)(C)OC1CC1C[NH2+]C1CS(=O)(=O)CC(Cc2cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c2)C1O,CC(C)(C)OC1CC1CNC1CS(=O)(=O)CC(Cc2cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c2)C1O,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000038,bace,bace_001338,parent_1x:38,CC(NC(=O)c1cc(C[NH2+]CC([NH3+])(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,CC(NC(=O)c1cc(CNCC(N)(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000039,bace,bace_001339,parent_1x:39,CC(NC(=O)c1cc(COCC([NH3+])Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,CC(NC(=O)c1cc(COCC(N)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000040,bace,bace_001382,parent_1x:40,CCC([NH3+])(COCc1cc(C(=O)NC(C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)Cc1ccccc1,CCC(N)(COCc1cc(C(=O)NC(C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)Cc1ccccc1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000041,bace,bace_001432,parent_1x:41,CC([NH2+]CC(O)C(Cc1ccccc1)NC(=O)c1cccc(S(=O)(=O)N(C)Cc2ccccc2)c1)C(=O)NC1CCCCC1,CC(NCC(O)C(Cc1ccccc1)NC(=O)c1cccc(S(=O)(=O)N(C)Cc2ccccc2)c1)C(=O)NC1CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000042,bbbp,bbbp_000108,parent_1x:42,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(CCC3OCCCO3)CC1)c1ccccc1S2.O=C(O)CCC(=O)O,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(CCC3OCCCO3)CC1)c1ccccc1S2,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000043,bbbp,bbbp_000132,parent_1x:43,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+],Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000044,bbbp,bbbp_000790,parent_1x:44,Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1.O.O,Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000045,bbbp,bbbp_000949,parent_1x:45,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C.[Cl-].[H+],CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000046,bbbp,bbbp_001210,parent_1x:46,O=C(O)/C=C/C(=O)O.OCCOCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,OCCOCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000047,hiv,hiv_000869,parent_1x:47,N=C(N)Nc1ccccc1SSc1ccccc1NC(=N)N.O=S(=O)(O)O,N=C(N)Nc1ccccc1SSc1ccccc1NC(=N)N,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000048,hiv,hiv_021799,parent_1x:48,O=S(=O)(O)c1cc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2O)ccc1C=Cc1ccc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2O)cc1S(=O)(=O)O.[Cu].[NaH],O=S(=O)(O)c1cc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2O)ccc1C=Cc1ccc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2O)cc1S(=O)(=O)O,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000049,hiv,hiv_024392,parent_1x:49,C[N+](C)(C)C.O=S(O)(=[OH+])c1cc(N=Nc2cc(S(=O)(O)=[OH+])c3cccnc3c2[O][Zn][Cl])ccc1C=Cc1ccc(N=Nc2cc(S(=O)(O)=[OH+])c3cccnc3c2[O][Zn][Cl])cc1S(=O)(O)=[OH+],O=S(=O)(O)c1cc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2[O][Zn][Cl])ccc1C=Cc1ccc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2[O][Zn][Cl])cc1S(=O)(=O)O,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000050,hiv,hiv_025008,parent_1x:50,C[n+]1c(-c2ccc(C=NNc3n[nH]c(=S)n3NN=Cc3ccc(-c4cn5ccccc5[n+]4C)cc3)cc2)cn2ccccc21.[Br-],C[n+]1c(-c2ccc(C=NNc3n[nH]c(=S)n3NN=Cc3ccc(-c4cn5ccccc5[n+]4C)cc3)cc2)cn2ccccc21,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000051,hiv,hiv_027339,parent_1x:51,Cc1cn(C2CC(N=[N+]=[NH2+])C(COC(=O)CCCCCCCCCCCI)O2)c(=O)[nH]c1=O,Cc1cn(C2CC(N=[N+]=N)C(COC(=O)CCCCCCCCCCCI)O2)c(=O)[nH]c1=O,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000052,hiv,hiv_027768,parent_1x:52,Cl.O=C(CCCN1CCC2(CC1)C(=O)NC(=O)N2c1ccccc1)c1ccc(F)cc1,O=C(CCCN1CCC2(CC1)C(=O)NC(=O)N2c1ccccc1)c1ccc(F)cc1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000053,hiv,hiv_031319,parent_1x:53,O=C(O)c1cc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2O)ccc1C=Cc1ccc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2O)cc1C(=O)O.[NaH],O=C(O)c1cc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2O)ccc1C=Cc1ccc(N=Nc2cc(S(=O)(=O)O)c3cccnc3c2O)cc1C(=O)O,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000054,hiv,hiv_032398,parent_1x:54,O=S(=O)(O)c1cc(NC(=S)c2ccc3cccnc3c2O)ccc1C=Cc1ccc(NC(=S)c2ccc3cccnc3c2O)cc1S(=O)(=O)O.[NaH],O=S(=O)(O)c1cc(NC(=S)c2ccc3cccnc3c2O)ccc1C=Cc1ccc(NC(=S)c2ccc3cccnc3c2O)cc1S(=O)(=O)O,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000055,clintox_tox,clintox_tox_000105,parent_1x:55,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000056,clintox_tox,clintox_tox_000142,parent_1x:56,Clc1cccc(Cl)c1NC1=[NH+]CCN1,Clc1cccc(Cl)c1NC1=NCCN1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000057,clintox_tox,clintox_tox_000243,parent_1x:57,[NH3+]Cc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3CC(=O)[O-])CS[C@H]12,NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000058,clintox_tox,clintox_tox_000272,parent_1x:58,N#CC(CC[NH+]1CCC(C(=O)[O-])(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
