pair_id,query_smiles,target_smiles,pred_relation,query_tautomer_key,target_tautomer_key,query_formula,target_formula,miss_category
tautobase_000010,C1SC(C=CC=C2)=C2C(C2=CC=CC=C2)=C1,C(C1C2=CC=CC=C2)=CSC2=C1C=CC=C2,none,C1=C(c2ccccc2)c2ccccc2SC1,C1=CC(c2ccccc2)c2ccccc2S1,C15H12S,C15H12S,scaffold_or_connectivity_shift
tautobase_000011,CC(C1)=CC2=C1C=CS2,CC(C1)=CC2=C1SC=C2,none,CC1=Cc2sccc2C1,CC1=Cc2ccsc2C1,C8H8S,C8H8S,scaffold_or_connectivity_shift
tautobase_000019,CC(C)C1=C(C)CCC1,CC(CCC1)C1=C(C)C,none,CC1=C(C(C)C)CCC1,CC(C)=C1CCCC1C,C9H16,C9H16,scaffold_or_connectivity_shift
tautobase_000021,CC(C)C1=C(C)CCCC1,CC(CCCC1)C1=C(C)C,none,CC1=C(C(C)C)CCCC1,CC(C)=C1CCCCC1C,C10H18,C10H18,scaffold_or_connectivity_shift
tautobase_000023,CC(C)C1=C(C)CCCCC1,CC(CCCCC1)C1=C(C)C,none,CC1=C(C(C)C)CCCCC1,CC(C)=C1CCCCCC1C,C11H20,C11H20,scaffold_or_connectivity_shift
tautobase_000024,CC(C)/C1=C(\C)/CCCCCC/1,CC(CCCCCC1)C1=C(C)C,none,CC1=C(C(C)C)CCCCCC1,CC(C)=C1CCCCCCC1C,C12H22,C12H22,scaffold_or_connectivity_shift
tautobase_000025,CCC1=CCOC=C1,C/C=C1/C=COCC/1,none,CCC1=CCOC=C1,C/C=C1/C=COCC1,C7H10O,C7H10O,scaffold_or_connectivity_shift
tautobase_000026,CCC1=CCSC=C1,C/C=C1/C=CSCC/1,none,CCC1=CCSC=C1,C/C=C1/C=CSCC1,C7H10S,C7H10S,scaffold_or_connectivity_shift
tautobase_000027,CCC1=CCOC2=C1C=CC=C2,C/C=C1/C(C=CC=C2)=C2OCC/1,none,CCC1=CCOc2ccccc21,C/C=C1\CCOc2ccccc21,C11H12O,C11H12O,scaffold_or_connectivity_shift
tautobase_000028,CC(S1)=CN2C1=NC1=C2C=CC=C1,C=C1SC2=NC(C=CC=C3)=C3N2C1,none,Cc1cn2c(nc3ccccc32)s1,C=C1Cn2c(nc3ccccc32)S1,C10H8N2S,C10H8N2S,scaffold_or_connectivity_shift
tautobase_000055,CCSC(/C=N/C)SCC,CCSC(SCC)=CNC,none,CCSC(/C=N/C)SCC,CCSC(=CNC)SCC,C7H15NS2,C7H15NS2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000137,OC(C1=CCC2=C1C=CC=C2)=O,OC(O)=C(C=C1)C2=C1C=CC=C2,none,O=C(O)C1=CCc2ccccc21,O=C(O)C1C=Cc2ccccc21,C10H8O2,C10H8O2,scaffold_or_connectivity_shift
tautobase_000159,O=C(C1=C(C2)C=CC=C1)C1=C2C=CC=C1,OC1=C(C=CC=C2)C2=CC2=C1C=CC=C2,none,O=C1c2ccccc2Cc2ccccc21,Oc1c2ccccc2cc2ccccc12,C14H10O,C14H10O,scaffold_or_connectivity_shift
tautobase_000160,O=C1C2=CC(C=CC=C3)=C3C=C2CC2=CC(C=CC=C3)=C3C=C12,OC1=C(C=C(C=CC=C2)C2=C2)C2=CC2=C1C=C(C=CC=C1)C1=C2,none,O=C1c2cc3ccccc3cc2Cc2cc3ccccc3cc21,Oc1c2cc3ccccc3cc2cc2cc3ccccc3cc12,C22H14O,C22H14O,scaffold_or_connectivity_shift
tautobase_000161,O=C(C1=CSC=C1C1)C2=C1C=CC=C2,OC1=C(C=CC=C2)C2=CC2=CSC=C12,none,O=C1c2ccccc2Cc2cscc21,Oc1c2ccccc2cc2cscc12,C12H8OS,C12H8OS,scaffold_or_connectivity_shift
tautobase_000169,O=C1SCC=C1,OC1=CC=CS1,none,O=C1C=CCS1,Oc1cccs1,C4H4OS,C4H4OS,scaffold_or_connectivity_shift
tautobase_000170,O=C1OCC2=C1C=CC=C2,OC1=C(C=CC=C2)C2=CO1,none,O=C1OCc2ccccc21,Oc1occ2ccccc12,C8H6O2,C8H6O2,scaffold_or_connectivity_shift
tautobase_000184,O=C1OC(C2=CC=CC=C2)=NC1C1=CC=CC=C1,[O-]C1=C(C2=CC=CC=C2)[NH+]=C(C2=CC=CC=C2)O1,none,Oc1oc(-c2ccccc2)nc1-c1ccccc1,[O-]c1oc(-c2ccccc2)[nH+]c1-c1ccccc1,C15H11NO2,C15H11NO2,charge_protonation_interaction
tautobase_000185,CC1N=C(C)OC1=O,CC1=C([O-])OC(C)=[NH+]1,none,Cc1nc(C)c(O)o1,Cc1[nH+]c(C)c([O-])o1,C5H7NO2,C5H7NO2,charge_protonation_interaction
tautobase_000198,CN(C1)C(N)=NC1=O,CN1C(N)=NC(O)=C1,none,Cn1cc(O)[nH]c1=N,Cn1cc(O)nc1N,C4H7N3O,C4H7N3O,scaffold_or_connectivity_shift
tautobase_000211,SC1=CC=CO1,S=C1OCC=C1,none,Sc1ccco1,S=C1C=CCO1,C4H4OS,C4H4OS,scaffold_or_connectivity_shift
tautobase_000212,SC1=CC=CS1,S=C1SCC=C1,none,Sc1cccs1,S=C1C=CCS1,C4H4S2,C4H4S2,scaffold_or_connectivity_shift
tautobase_000213,SC1=CC=CN1,S=C1NCC=C1,none,Sc1ccc[nH]1,S=C1C=CCN1,C4H5NS,C4H5NS,scaffold_or_connectivity_shift
tautobase_000221,CC1=NCCCC1,CC1=CCCCN1,none,CC1=NCCCC1,CC1=CCCCN1,C6H11N,C6H11N,scaffold_or_connectivity_shift
tautobase_000222,CC1=NCCC1,CC1=CCCN1,none,CC1=NCCC1,CC1=CCCN1,C5H9N,C5H9N,scaffold_or_connectivity_shift
tautobase_000223,CC(/C=N/C)C1=CC=CC=C1,C/C(\C1=CC=CC=C1)=C\NC,family,C/N=C/C(C)c1ccccc1,CN=CC(C)c1ccccc1,C10H13N,C10H13N,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000230,CC/C=N/C(C)=O,C/C=C/NC(C)=O,none,CC/C=N/C(C)=O,CCC=NC(C)=O,C5H9NO,C5H9NO,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000234,CNC1=CCCCC1=O,C/N=C(\CCCC1)/C1=O,none,CNC1=CCCCC1=O,C/N=C1\CCCCC1=O,C7H11NO,C7H11NO,scaffold_or_connectivity_shift
tautobase_000235,CC/C(\C(C)=O)=N/O,C/C=C(/C(C)=O)\NO,none,CCC(=NO)C(C)=O,CC=C(NO)C(C)=O,C5H9NO2,C5H9NO2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000236,CC(C)/C(\C)=N/NO,CC(C)=C(C)NNO,none,CC(=NNO)C(C)C,CC(C)=C(C)NNO,C5H12N2O,C5H12N2O,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000239,CC1=CC=NC=C1,C=C1C=CNC=C1,none,Cc1ccncc1,C=C1C=CNC=C1,C6H7N,C6H7N,scaffold_or_connectivity_shift
tautobase_000240,CC1=CC=NCC1,C=C1C=CNCC1,none,CC1=CC=NCC1,C=C1C=CNCC1,C6H9N,C6H9N,scaffold_or_connectivity_shift
tautobase_000245,C1=CNC=C1,C1C=NC=C1,none,c1cc[nH]c1,C1=CN=CC1,C4H5N,C4H5N,scaffold_or_connectivity_shift
tautobase_000254,C1=CN(C=CN2)C2=C1,C1C2=NC=CN2C=C1,none,c1cc2[nH]ccn2c1,C1=Cn2ccnc2C1,C6H6N2,C6H6N2,scaffold_or_connectivity_shift
tautobase_000255,C1=C(C=CC=C2)C2=C2N1C(C=CC=C1)=C1N2,C(C1=C2C=CC=C1)N1C2=NC2=C1C=CC=C2,none,c1ccc2c(c1)cn1c3ccccc3[nH]c21,c1ccc2c(c1)Cn1c-2nc2ccccc21,C14H10N2,C14H10N2,scaffold_or_connectivity_shift
tautobase_000256,C1=C(C=CC=C2)C2=C2N1N=NN2,C1N2N=NN=C2C2=C1C=CC=C2,none,c1ccc2c(c1)cn1[nH]nnc21,c1ccc2c(c1)Cn1nnnc1-2,C8H6N4,C8H6N4,scaffold_or_connectivity_shift
tautobase_000257,C1=CC2=CNC(C=CC=C3)=C3C2=C1,C(C=C1)C2=C1C(C=CC=C1)=C1N=C2,none,c1cc2c[nH]c3ccccc3c-2c1,C1=Cc2c(cnc3ccccc23)C1,C12H9N,C12H9N,scaffold_or_connectivity_shift
tautobase_000261,C1=CC=CNC=C1,C1C=NC=CC=C1,none,C1=CC=CNC=C1,C1=CCC=NC=C1,C6H7N,C6H7N,scaffold_or_connectivity_shift
tautobase_000264,CC1=CNC=CO1,CC1OC=CN=C1,none,CC1=CNC=CO1,CC1C=NC=CO1,C5H7NO,C5H7NO,scaffold_or_connectivity_shift
tautobase_000266,CC1=NNC(C)=NN1,CC1N=NC(C)=NN1,none,CC1=NN=C(C)NN1,CC1=NNC(C)N=N1,C4H8N4,C4H8N4,scaffold_or_connectivity_shift
tautobase_000271,C=[NH+][O-],C=NO,none,C=[NH+][O-],C=NO,CH3NO,CH3NO,charge_protonation_interaction
tautobase_000273,N[N+]([O-])=O,N=[N+]([O-])O,none,N[N+](=O)[O-],N=[N+]([O-])O,H2N2O2,H2N2O2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000274,CC(C)/N=N/C,CC(C)=NNC,none,C/N=N/C(C)C,CNN=C(C)C,C4H10N2,C4H10N2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000275,CC(C)/N=N/C1=CC=CC=C1,CC(C)=NNC1=CC=CC=C1,family,CC(C)/N=N/c1ccccc1,CC(C)=NNc1ccccc1,C9H12N2,C9H12N2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000276,CCC/N=N/CCC,CCCN/N=C/CC,none,CCC/N=N/CCC,CC/C=N/NCCC,C6H14N2,C6H14N2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000277,CCC/N=N/C(C)C,CCCNN=C(C)C,none,CCC/N=N/C(C)C,CCCNN=C(C)C,C6H14N2,C6H14N2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000278,CC(C)/N=N/C1=NC(C=P(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)=CS1,CC(C)=NNC1=NC(C=P(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)=CS1,family,CC(C)/N=N/c1nc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)cs1,CC(C)=NNc1nc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)cs1,C25H24N3PS,C25H24N3PS,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000279,C/N=N/CC1=NC=CC=C1,CN/N=C/C1=NC=CC=C1,family,C/N=N/Cc1ccccn1,CNN=Cc1ccccn1,C7H9N3,C7H9N3,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000287,CN[N+]([O-])=O,C/N=[N+](/[O-])\O,none,CN[N+](=O)[O-],C/N=[N+](/[O-])O,CH4N2O2,CH4N2O2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000288,CC(C)C#N,CC(C)=C=N,none,CC(C)C#N,CC(C)=C=N,C4H7N,C4H7N,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000289,N#CC(C(C#N)C#N)C#N,N=C=C(C(C#N)C#N)C#N,none,N#CC(C#N)C(C#N)C#N,N#CC(=C=N)C(C#N)C#N,C6H2N4,C6H2N4,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000290,CC(O)=C(C#N)C#N,CC(C(C#N)=C=N)=O,none,CC(=O)C(C#N)C#N,CC(=O)C(=C=N)C#N,C5H4N2O,C5H4N2O,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000291,CNC#N,CN=C=N,none,CNC#N,CN=C=N,C2H4N2,C2H4N2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000296,CCC/[NH+]=N/N=C(C=C1)C=CC1C#N,CCC/N=N/[NH+]=C(C=C1)C=CC1C#N,parent,CCC/[NH+]=N/N=C1C=CC(C#N)C=C1,CCC/N=N/[NH+]=C1C=CC(C#N)C=C1,C10H13N4+,C10H13N4+,scaffold_or_connectivity_shift
tautobase_000368,CC(C1=CCSC1=O)=O,CC(C1=C(O)SC=C1)=O,none,CC(=O)C1=CCSC1=O,CC(=O)c1ccsc1O,C6H6O2S,C6H6O2S,scaffold_or_connectivity_shift
tautobase_000434,N=C(C1)NOC1=N,NC(ON1)=CC1=N,none,N=c1cc(N)[nH]o1,Nc1cc(N)on1,C3H5N3O,C3H5N3O,scaffold_or_connectivity_shift
tautobase_000435,CC1=NN=C(C)C1,CC1=CC(C)=NN1,none,CC1=NN=C(C)C1,Cc1cc(C)[nH]n1,C5H8N2,C5H8N2,scaffold_or_connectivity_shift
tautobase_000436,C1C(C2=CC=CC=C2)=NN=C1,C1=CNN=C1C1=CC=CC=C1,none,C1=NN=C(c2ccccc2)C1,c1ccc(-c2cc[nH]n2)cc1,C9H8N2,C9H8N2,scaffold_or_connectivity_shift
tautobase_000438,NC1=NN=CC1,NC1=NNC=C1,none,N=c1cc[nH][nH]1,Nc1cc[nH]n1,C3H5N3,C3H5N3,scaffold_or_connectivity_shift
tautobase_000441,COC1=NCNC(OC)=C1,COC(C1)=NCN=C1OC,none,COC1=CC(OC)=NCN1,COC1=NCN=C(OC)C1,C6H10N2O2,C6H10N2O2,scaffold_or_connectivity_shift
tautobase_000442,CCC1=NCNC(CC)=C1,CCC1=NCN=C(CC)C1,none,CCC1=CC(CC)=NCN1,CCC1=NCN=C(CC)C1,C8H14N2,C8H14N2,scaffold_or_connectivity_shift
tautobase_000443,CC(C=C1C)=NCN1C1=CC=CC=C1,CC(C=C1C)N=CN1C1=CC=CC=C1,none,CC1=CC(C)=NCN1c1ccccc1,CC1=CC(C)N=CN1c1ccccc1,C12H14N2,C12H14N2,scaffold_or_connectivity_shift
tautobase_000444,CC1=NCCN=C(C)C1,CC1=NCCNC(C)=C1,none,CC1=NCCN=C(C)C1,CC1=CC(C)=NCCN1,C7H12N2,C7H12N2,scaffold_or_connectivity_shift
tautobase_000445,N=C1CN=CC1,N=C1C=NCC1,none,Nc1cc[nH]c1,N=C1C=NCC1,C4H6N2,C4H6N2,scaffold_or_connectivity_shift
tautobase_000450,C/N=C1/C=COC/1,CNC1=COC=C1,none,C/N=C1/C=COC1,CNc1ccoc1,C5H7NO,C5H7NO,scaffold_or_connectivity_shift
tautobase_000458,O/N=C1/C(C=CC=C2)=C2OC/1,ONC1=COC2=C1C=CC=C2,none,ON=C1COc2ccccc21,ONc1coc2ccccc12,C8H7NO2,C8H7NO2,scaffold_or_connectivity_shift
tautobase_000471,O=C1C=CNC=C1,[O-]C1=CC=[NH+]C=C1,none,O=c1cc[nH]cc1,[O-]c1cc[nH+]cc1,C5H5NO,C5H5NO,charge_protonation_interaction
tautobase_000472,S=C1C=CNC=C1,[S-]C1=CC=[NH+]C=C1,none,S=c1cc[nH]cc1,[S-]c1cc[nH+]cc1,C5H5NS,C5H5NS,charge_protonation_interaction
tautobase_000477,CC/N=C(\C)/C/N=N/CC,CCN/N=C\C(/C)=N\CC,none,CC/N=N/C/C(C)=N/CC,CCN=C(C)C=NNCC,C7H15N3,C7H15N3,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000478,CC1=CN=C(/C(\CCC2)=N\NC3=CC=CC=C3)N2C1=O,CC1=CN=C(C(CCC2)/N=N/C3=CC=CC=C3)N2C1=O,none,Cc1cnc2n(c1=O)CCCC2=NNc1ccccc1,Cc1cnc2n(c1=O)CCCC2/N=N/c1ccccc1,C15H16N4O,C15H16N4O,scaffold_or_connectivity_shift
tautobase_000479,O=C1N(CCC/C2=N/NC3=CC=CC=C3)C/2=NC2=C1CCCC2,O=C1N(CCCC2/N=N/C3=CC=CC=C3)C2=NC2=C1CCCC2,none,O=c1c2c(nc3n1CCCC3=NNc1ccccc1)CCCC2,O=c1c2c(nc3n1CCCC3/N=N/c1ccccc1)CCCC2,C18H20N4O,C18H20N4O,scaffold_or_connectivity_shift
tautobase_000480,O=C1N(CCC/C2=N/NC3=CC=CC=C3)C/2=NC2=C1C=CC=C2,O=C1N(CCCC2/N=N/C3=CC=CC=C3)C2=NC2=C1C=CC=C2,none,O=c1c2ccccc2nc2n1CCCC2=NNc1ccccc1,O=c1c2ccccc2nc2n1CCCC2/N=N/c1ccccc1,C18H16N4O,C18H16N4O,scaffold_or_connectivity_shift
tautobase_000493,NC(C1=C2C=CC=C1)=C(C=CC=C1)C1=C2/N=N/C1=CC=CC=C1,N=C(C1=C2C=CC=C1)C(C=CC=C1)=C1C2=NNC1=CC=CC=C1,none,Nc1c2ccccc2c(N=Nc2ccccc2)c2ccccc12,N=C1c2ccccc2C(=NNc2ccccc2)c2ccccc21,C20H15N3,C20H15N3,scaffold_or_connectivity_shift
tautobase_000625,[O-][N+](C=C1)=CC=C1O,ON(C=C1)C=CC1=O,none,[O-][n+]1ccc(O)cc1,O=c1ccn(O)cc1,C5H5NO2,C5H5NO2,charge_protonation_interaction
tautobase_000626,[O-][N+](C1=C2C=CC=C1)=C(C=CC=C1)C1=C2O,ON(C1=C2C=CC=C1)C(C=CC=C1)=C1C2=O,none,[O-][n+]1c2ccccc2c(O)c2ccccc21,O=c1c2ccccc2n(O)c2ccccc12,C13H9NO2,C13H9NO2,charge_protonation_interaction
tautobase_000646,O=S(CC1=NC=CC=C1)OC1=CC=CC=C1,O=S(/C=C1/NC=CC=C/1)OC1=CC=CC=C1,none,O=S(Cc1ccccn1)Oc1ccccc1,O=S(/C=C1\C=CC=CN1)Oc1ccccc1,C12H11NO2S,C12H11NO2S,scaffold_or_connectivity_shift
tautobase_000650,O=S(CC1=CC=NC=C1)OC1=CC=CC=C1,O=S(C=C1C=CNC=C1)OC1=CC=CC=C1,none,O=S(Cc1ccncc1)Oc1ccccc1,O=S(C=C1C=CNC=C1)Oc1ccccc1,C12H11NO2S,C12H11NO2S,scaffold_or_connectivity_shift
tautobase_000653,[O-][N+](CC1=CC=NC=C1)=O,[O-][N+](C=C1C=CNC=C1)=O,none,O=[N+]([O-])Cc1ccncc1,O=[N+]([O-])C=C1C=CNC=C1,C6H6N2O2,C6H6N2O2,scaffold_or_connectivity_shift
tautobase_000661,C/C(\CC#N)=N\NC,C/C(\NNC)=C\C#N,none,CNN=C(C)CC#N,CNNC(C)=CC#N,C5H9N3,C5H9N3,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000701,CNC1=NC(/C=C\O)=NC(NC)=N1,CNC(N1)=NC(NC)=N/C\1=C/C=O,none,CNc1nc(CC=O)nc(NC)n1,CN=c1nc(CC=O)[nH]c(=NC)[nH]1,C7H11N5O,C7H11N5O,scaffold_or_connectivity_shift
tautobase_000706,COC(CC1=NC(N)=NC=C1)=O,COC(/C=C1\NC(N)=NC=C\1)=O,none,COC(=O)Cc1ccnc(N)n1,COC(=O)Cc1cc[nH]c(=N)n1,C7H9N3O2,C7H9N3O2,scaffold_or_connectivity_shift
tautobase_000793,O=C1C(C=CC=C2)=C2S=C1/C=N/C1=CC=CC=C1,O=C1C(C=CC=C2)=C2S/C\1=C/NC1=CC=CC=C1,none,O=C1C(/C=N/c2ccccc2)=[SH]c2ccccc21,Oc1c(C=Nc2ccccc2)sc2ccccc12,C15H11NOS,C15H11NOS,scaffold_or_connectivity_shift
tautobase_000795,CCC(C)/N=N/C(C=C1)=CC=C1[N+]([O-])=O,CC/C(\C)=N/NC(C=C1)=CC=C1[N+]([O-])=O,family,CCC(C)/N=N/c1ccc([N+](=O)[O-])cc1,CCC(C)=NNc1ccc([N+](=O)[O-])cc1,C10H13N3O2,C10H13N3O2,rdkit_tautomer_rule_coverage_or_ambiguous
tautobase_000812,O=C(C1=C2C=CC=C1)C(C=CC=C1)=C1C2=NNC1=CC=CC=C1,OC(C1=C2C=CC=C1)=C(C=CC=C1)C1=C2/N=N/C1=CC=CC=C1,none,O=C1c2ccccc2C(=NNc2ccccc2)c2ccccc21,Oc1c2ccccc2c(N=Nc2ccccc2)c2ccccc12,C20H14N2O,C20H14N2O,scaffold_or_connectivity_shift
tautobase_000815,OC1=CC(C=CC=C2)=C2C=C1/N=N/C1=CC=CC=C1,O=C(C=C(C=CC=C1)C1=C1)/C\1=N\NC1=CC=CC=C1,none,Oc1cc2ccccc2cc1/N=N/c1ccccc1,Oc1cc2ccccc2cc1N=Nc1ccccc1,C16H12N2O,C16H12N2O,scaffold_or_connectivity_shift
tautobase_000828,NC(C=C1)=NC(N)=C1N=O,NC(/C(\C=C1)=N\O)=NC1=N,none,Nc1ccc(N=O)c(N)n1,N=c1[nH]c(N)ccc1N=O,C5H6N4O,C5H6N4O,scaffold_or_connectivity_shift
tautobase_000847,O/N=C(\CCCC1)/C1=O,ONC1=CCCCC1=O,none,O=C1CCCCC1=NO,O=C1CCC=CC1NO,C6H9NO2,C6H9NO2,scaffold_or_connectivity_shift
tautobase_000848,O=C(CCCC1)/C\1=N/NC1=CC=CC=C1,O=C1C(NNC2=CC=CC=C2)=CCCC1,none,O=C1CCCCC1=NNc1ccccc1,O=C1CCC=CC1NNc1ccccc1,C12H14N2O,C12H14N2O,scaffold_or_connectivity_shift
tautobase_000894,C1C=NN=CC1,C1C=NNC=C1,none,C1=NN=CCC1,C1=CNN=CC1,C4H6N2,C4H6N2,scaffold_or_connectivity_shift
tautobase_000895,C1C=NNC=C1,C1=CNNC=C1,none,C1=CNN=CC1,C1=CNNC=C1,C4H6N2,C4H6N2,scaffold_or_connectivity_shift
