pair_id,task,query_id,target_id,query_smiles,target_smiles,gold_relation,binary_label,gold_source,source_type,hard_negative_type,pred_relation,pred_exact,pred_parent,pred_stereo,pred_tautomer,pred_family
chembl_exact_self_000010,chembl36_registry,15,15,CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000011,chembl36_registry,21,21,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000012,chembl36_registry,23,23,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000013,chembl36_registry,24,24,O=C1O/C(=C/I)CCC1c1cccc2ccccc12,O=C1O/C(=C/I)CCC1c1cccc2ccccc12,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000014,chembl36_registry,25,25,C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000015,chembl36_registry,26,26,O=C1O/C(=C\I)CCC1c1cccc2ccccc12,O=C1O/C(=C\I)CCC1c1cccc2ccccc12,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000016,chembl36_registry,27,27,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000017,chembl36_registry,28,28,O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000018,chembl36_registry,29,29,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000019,chembl36_registry,30,30,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccccc1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccccc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000020,chembl36_registry,31,31,COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)C4CC4c4ccccc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000021,chembl36_registry,32,32,COc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,COc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000022,chembl36_registry,33,33,COc1cc2nc(N3CCN(S(=O)(=O)c4cccs4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(S(=O)(=O)c4cccs4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000023,chembl36_registry,38,38,c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)-c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)-c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000024,chembl36_registry,39,39,Nc1cc[n+](Cc2cccc(-c3cccc(C[n+]4ccc(N)c5ccccc54)c3)c2)c2ccccc12,Nc1cc[n+](Cc2cccc(-c3cccc(C[n+]4ccc(N)c5ccccc54)c3)c2)c2ccccc12,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000025,chembl36_registry,46,46,Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000026,chembl36_registry,47,47,Nc1cc[n+](Cc2ccc(/C=C\c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,Nc1cc[n+](Cc2ccc(/C=C\c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000027,chembl36_registry,48,48,c1ccc(C[n+]2ccc(NCCCCCCCCCCNc3cc[n+](Cc4ccccc4)c4ccccc34)c3ccccc32)cc1,c1ccc(C[n+]2ccc(NCCCCCCCCCCNc3cc[n+](Cc4ccccc4)c4ccccc34)c3ccccc32)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000028,chembl36_registry,49,49,C1=C\c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCNc2cc[n+](c3ccccc23)Cc2ccc/1cc2,C1=C\c2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCNc2cc[n+](c3ccccc23)Cc2ccc/1cc2,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000029,chembl36_registry,50,50,c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)CCc2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)CCc2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000030,chembl36_registry,51,51,c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)Cc2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,c1ccc2c(c1)c1cc[n+]2Cc2ccc(cc2)Cc2ccc(cc2)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000031,chembl36_registry,52,52,Nc1cc[n+](Cc2ccc3c(c2)Cc2cc(C[n+]4ccc(N)c5ccccc54)ccc2-3)c2ccccc12,Nc1cc[n+](Cc2ccc3c(c2)Cc2cc(C[n+]4ccc(N)c5ccccc54)ccc2-3)c2ccccc12,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000032,chembl36_registry,53,53,Nc1cc[n+](Cc2ccc(-c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,Nc1cc[n+](Cc2ccc(-c3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000033,chembl36_registry,54,54,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000034,chembl36_registry,55,55,c1ccc2c(c1)c1cc[n+]2Cc2ccc3c(c2)Cc2cc(ccc2-3)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,c1ccc2c(c1)c1cc[n+]2Cc2ccc3c(c2)Cc2cc(ccc2-3)C[n+]2ccc(c3ccccc32)NCCCCCCCCCCN1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000035,chembl36_registry,56,56,Nc1cc[n+](Cc2ccc(Cc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,Nc1cc[n+](Cc2ccc(Cc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000036,chembl36_registry,58,58,COC(=O)/C=C/C(=O)Nc1ccc(CCCCC(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,COC(=O)/C=C/C(=O)Nc1ccc(CCCCC(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000037,chembl36_registry,59,59,COc1cc2nc(N3CCN(C(=O)CCc4ccccc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)CCc4ccccc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000038,chembl36_registry,60,60,COc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,COc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000039,chembl36_registry,61,61,COc1cc2nc(N3CCN(C(=O)/C=C/c4cccc(F)c4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)/C=C/c4cccc(F)c4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000040,chembl36_registry,62,62,COc1cc2nc(N3CCN(C(=O)C4CC5C=CC4C5)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)C4CC5C=CC4C5)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000041,chembl36_registry,63,63,C/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,C/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000042,chembl36_registry,64,64,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccccc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccccc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000043,chembl36_registry,65,65,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(F)cc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(F)cc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000044,chembl36_registry,66,66,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Cl)cc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Cl)cc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000045,chembl36_registry,67,67,COc1cc2nc(N3CCN(C(=O)/C(F)=C/c4ccccc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)/C(F)=C/c4ccccc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000046,chembl36_registry,68,68,COc1cc2nc(N3CCN(C(=O)Nc4ccccc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)Nc4ccccc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000047,chembl36_registry,69,69,COC(=O)/C=C/C(=O)Nc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,COC(=O)/C=C/C(=O)Nc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000048,chembl36_registry,70,70,COc1cc2nc(N3CCN(/C(S)=N/C4CCCCC4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(/C(S)=N/C4CCCCC4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000049,chembl36_registry,71,71,COc1cc2nc(N3CCN(C(=O)C4=CC5C=CC4CC5)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)C4=CC5C=CC4CC5)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000050,chembl36_registry,72,72,COc1cc2nc(N3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000051,chembl36_registry,73,73,COc1cc2nc(N3CCN(/C(S)=N/c4ccccc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(/C(S)=N/c4ccccc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000052,chembl36_registry,74,74,O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000053,chembl36_registry,75,75,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000054,chembl36_registry,76,76,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000055,chembl36_registry,77,77,O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000056,chembl36_registry,78,78,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(=O)c1ccc(Cl)cc1,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(=O)c1ccc(Cl)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000057,chembl36_registry,79,79,Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000058,chembl36_registry,80,80,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000059,chembl36_registry,81,81,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000060,chembl36_registry,82,82,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000061,chembl36_registry,83,83,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000062,chembl36_registry,84,84,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000063,chembl36_registry,85,85,c1cncc(CN2CCN(CC3CCCCN3)CC2)c1,c1cncc(CN2CCN(CC3CCCCN3)CC2)c1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000064,chembl36_registry,86,86,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000065,chembl36_registry,87,87,CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000066,chembl36_registry,88,88,CN1CCCCC1CN1CCN(Cc2cccnc2)CC1,CN1CCCCC1CN1CCN(Cc2cccnc2)CC1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000067,chembl36_registry,89,89,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000068,chembl36_registry,90,90,CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000069,chembl36_registry,91,91,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000070,chembl36_registry,92,92,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000071,chembl36_registry,93,93,COc1cc2nc(N3CCN(C(=O)c4ccc(N=C=S)c(I)c4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)c4ccc(N=C=S)c(I)c4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000072,chembl36_registry,94,94,COc1cc2nc(N3CCN(/C(S)=N/c4ccc(NC(=S)N5CC5)cc4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(/C(S)=N/c4ccc(NC(=S)N5CC5)cc4)CC3)nc(N)c2cc1OC,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
